id,label,file name,thumbnail,space,filter,type
INF_TDF_4DRW3SHELVES_O#0,"INFRAME, 4 DRAWERS, SHELVES INSET ",FRM_INF_0034.skp,FRM_INF_0034.jpg,kitchen,tall,in-frame
INF_TDF_4DRW3SHELVES_R#0,"INFRAME, 4 DRAWERS, DOOR RH SHELVES INSET",FRM_INF_0035.skp,FRM_INF_0035.jpg,kitchen,tall,in-frame
INF_TDF_4DRW3SHELVESL#0,"INFRAME, 4 DRAWERS, DOOR LH SHELVES INSET",FRM_INF_0036.skp,FRM_INF_0036.jpg,kitchen,tall,in-frame
INF_TDF_4DRW3SHELVESLR#0,"INFRAME, 4 DRAWERS, DOOR LR SHELVES INSET",FRM_INF_0037.skp,FRM_INF_0037.jpg,kitchen,tall,in-frame
INF_TDF_5DRW_SHELVES_L#0,"INFRAME, 5 DRAWERS,DOOR LH, SHELVES INSET",FRM_INF_0038.skp,FRM_INF_0038.jpg,kitchen,tall,in-frame
INF_TDF_5DRW_SHELVES_LR#0,"INFRAME, 5 DRAWERS,DOOR LR, SHELVES INSET",FRM_INF_0039.skp,FRM_INF_0039.jpg,kitchen,tall,in-frame
INF_TDF_5DRW_SHELVES_O#0,"INFRAME, 5 DRAWERS, SHELVES INSET",FRM_INF_0040.skp,FRM_INF_0040.jpg,kitchen,tall,in-frame
INF_TDF_5DRW_SHELVES_R #0,"INFRAME, 5 DRAWERS,DOOR RH, SHELVES INSET",FRM_INF_0041.skp,FRM_INF_0041.jpg,kitchen,tall,in-frame
INF_EPTY#0,"INFRAME, EMPTY",FRM_INF_0042.skp,FRM_INF_0042.jpg,all,base,in-frame
INF_EPTY_L#0,"INFRAME, DOOR LH EMPTY",FRM_INF_0043.skp,FRM_INF_0043.jpg,all,base,in-frame
INF_EPTY_LR #0,"INFRAME, DOOR LR EMPTY",FRM_INF_0044.skp,FRM_INF_0044.jpg,all,base,in-frame
INF_EPTY_R #0,"INFRAME, DOOR RH EMPTY",FRM_INF_0045.skp,FRM_INF_0045.jpg,all,base,in-frame
INF_CORNERCAB_LH_EMPTY#0,"INFRAME, DOOR CORNER LH EMPTY",FRM_INF_0046.skp,FRM_INF_0046.jpg,all,base,in-frame
INF_CORNERCAB_RH_EMPTY#0,"INFRAME, DOOR CORNER RH EMPTY",FRM_INF_0048.skp,FRM_INF_0048.jpg,all,base,in-frame
INF_5SHELF_LH#0,"INFRAME, DOOR LH, 5 SHELVES INSET",FRM_INF_0059.skp,FRM_INF_0059.jpg,all,tall,in-frame
INF_5SHELF_LR #0,"INFRAME, DOOR LR, 5 SHELVES INSET",FRM_INF_0060.skp,FRM_INF_0060.jpg,all,tall,in-frame
INF_5SHELF_O#0,"INFRAME, 5 SHELVES INSET",FRM_INF_0061.skp,FRM_INF_0061.jpg,all,tall,in-frame
